candidate_id,sample,tile_id,mask_index,pred_label,area,bbox_xyxy,mask_bbox_xyxy,upscaled_bbox_xyxy,tile_box_xyxy,selection_rule,shape_extent,shape_aspect,mask_intensity_mean
10016,8,r1_c1,163,interference,36.0,"[659, 377, 669, 382]","[232, 35, 242, 40]","[698, 106, 726, 120]","[427, 342, 853, 684]",area_shape_interference,0.72,0.5,152.19444274902344
10017,1,r2_c1,221,interference,196.0,"[727, 716, 743, 744]","[300, 32, 316, 60]","[902, 97, 950, 181]","[427, 684, 853, 1026]",area_shape_interference,0.4375,0.5714285714285714,127.5051040649414
10018,3,r0_c2,186,real_ball,178.0,"[1181, 145, 1196, 160]","[328, 145, 343, 160]","[982, 434, 1028, 479]","[853, 0, 1280, 342]",area_shape_real_ball,0.7911111111111111,1.0,132.07302856445312
10019,5,r2_c1,204,real_ball,191.0,"[511, 940, 526, 956]","[84, 256, 99, 272]","[251, 769, 298, 815]","[427, 684, 853, 1026]",area_shape_real_ball,0.7958333333333333,0.9375,129.6963348388672
10020,5,r1_c2,8,shadow_ball,178.0,"[1117, 571, 1132, 586]","[264, 229, 279, 244]","[790, 687, 835, 732]","[853, 342, 1280, 684]",area_shape_shadow_ball,0.7911111111111111,1.0,120.67977905273438
10021,6,r0_c2,124,real_ball,215.0,"[1033, 114, 1049, 131]","[180, 114, 196, 131]","[539, 341, 587, 394]","[853, 0, 1280, 342]",area_shape_real_ball,0.7904411764705882,0.9411764705882353,142.3813934326172
10022,2,r2_c1,296,single_ball_background_mixed,383.0,"[515, 728, 538, 757]","[88, 44, 111, 73]","[265, 131, 335, 218]","[427, 684, 853, 1026]",area_shape_single_ball_background_mixed,0.5742128935532234,0.7931034482758621,119.20365905761719
10023,3,r1_c0,337,double_ball_cluster,359.0,"[107, 389, 127, 417]","[107, 47, 127, 75]","[320, 137, 380, 225]","[0, 342, 427, 684]",area_shape_double_ball_cluster,0.6410714285714286,0.7142857142857143,124.768798828125
10024,4,r1_c0,150,shadow_ball,211.0,"[163, 659, 180, 675]","[163, 317, 180, 333]","[489, 952, 539, 999]","[0, 342, 427, 684]",area_shape_shadow_ball,0.7757352941176471,0.9411764705882353,120.48341369628906
10025,1,r2_c2,352,shadow_double_ball_cluster,454.0,"[877, 692, 894, 727]","[24, 8, 41, 43]","[72, 23, 124, 128]","[853, 684, 1280, 1026]",area_shape_shadow_double_ball_cluster,0.7630252100840336,0.4857142857142857,119.24449157714844
10026,1,r2_c2,314,interference,215.0,"[1270, 826, 1280, 856]","[417, 142, 427, 172]","[1251, 426, 1280, 517]","[853, 684, 1280, 1026]",area_shape_interference,0.7166666666666667,0.3333333333333333,137.3023223876953
10027,1,r1_c1,164,real_ball,178.0,"[704, 507, 719, 522]","[277, 165, 292, 180]","[833, 496, 878, 541]","[427, 342, 853, 684]",area_shape_real_ball,0.7911111111111111,1.0,128.4044952392578
10028,6,r1_c1,2,real_ball,194.0,"[468, 539, 485, 554]","[41, 197, 58, 212]","[122, 591, 173, 636]","[427, 342, 853, 684]",area_shape_real_ball,0.7607843137254902,0.8823529411764706,131.88143920898438
10029,5,r1_c0,47,real_ball,178.0,"[236, 385, 251, 400]","[236, 43, 251, 58]","[707, 128, 752, 175]","[0, 342, 427, 684]",area_shape_real_ball,0.7911111111111111,1.0,131.96629333496094
10030,6,r1_c0,256,interference,73.0,"[138, 559, 146, 570]","[138, 217, 146, 228]","[415, 650, 438, 685]","[0, 342, 427, 684]",area_shape_interference,0.8295454545454546,0.7272727272727273,126.8630142211914
10031,3,r2_c1,274,double_ball_cluster,353.0,"[530, 903, 553, 930]","[103, 219, 126, 246]","[308, 656, 380, 738]","[427, 684, 853, 1026]",area_shape_double_ball_cluster,0.5684380032206119,0.8518518518518519,126.2492904663086
10032,4,r1_c2,304,single_ball_background_mixed,348.0,"[1086, 605, 1108, 632]","[233, 263, 255, 290]","[698, 788, 764, 871]","[853, 342, 1280, 684]",area_shape_single_ball_background_mixed,0.5858585858585859,0.8148148148148148,123.08045959472656
10033,4,r2_c2,218,single_ball_background_mixed,328.0,"[1183, 825, 1198, 854]","[330, 141, 345, 170]","[989, 423, 1035, 511]","[853, 684, 1280, 1026]",area_shape_single_ball_background_mixed,0.7540229885057471,0.5172413793103449,126.06097412109375
10034,5,r2_c0,126,single_ball_background_mixed,647.0,"[361, 968, 406, 987]","[361, 284, 406, 303]","[1081, 851, 1216, 908]","[0, 684, 427, 1026]",area_shape_single_ball_background_mixed,0.7567251461988304,0.4222222222222222,124.81761932373047
10035,4,r1_c0,351,interference,57.0,"[359, 523, 367, 533]","[359, 181, 367, 191]","[1076, 544, 1101, 572]","[0, 342, 427, 684]",area_shape_interference,0.7125,0.8,116.08772277832031
10036,6,r2_c0,185,double_ball_cluster,328.0,"[237, 933, 254, 960]","[237, 249, 254, 276]","[710, 748, 762, 828]","[0, 684, 427, 1026]",area_shape_double_ball_cluster,0.7145969498910676,0.6296296296296297,128.40548706054688
10037,4,r2_c0,85,real_ball,178.0,"[142, 905, 158, 919]","[142, 221, 158, 235]","[427, 662, 474, 706]","[0, 684, 427, 1026]",area_shape_real_ball,0.7946428571428571,0.875,130.38763427734375
10038,4,r2_c2,58,real_ball,177.0,"[1036, 912, 1051, 927]","[183, 228, 198, 243]","[550, 684, 595, 730]","[853, 684, 1280, 1026]",area_shape_real_ball,0.7866666666666666,1.0,127.51412200927734
10039,3,r0_c0,291,shadow_double_ball_cluster,344.0,"[39, 132, 54, 162]","[39, 132, 54, 162]","[118, 397, 162, 487]","[0, 0, 427, 342]",area_shape_shadow_double_ball_cluster,0.7644444444444445,0.5,119.50872039794922
10040,2,r2_c0,122,shadow_ball,178.0,"[385, 880, 400, 895]","[385, 196, 400, 211]","[1153, 587, 1198, 634]","[0, 684, 427, 1026]",area_shape_shadow_ball,0.7911111111111111,1.0,113.02246856689453
10041,4,r0_c1,334,shadow_double_ball_cluster,355.0,"[635, 240, 654, 281]","[208, 240, 227, 281]","[626, 720, 683, 844]","[427, 0, 853, 342]",area_shape_shadow_double_ball_cluster,0.4557124518613607,0.4634146341463415,119.39718627929688
10042,6,r0_c1,210,single_ball_background_mixed,361.0,"[808, 82, 825, 112]","[381, 82, 398, 112]","[1145, 245, 1195, 336]","[427, 0, 853, 342]",area_shape_single_ball_background_mixed,0.707843137254902,0.5666666666666667,135.32687377929688
10043,1,r2_c2,89,shadow_ball,178.0,"[883, 934, 898, 949]","[30, 250, 45, 265]","[91, 749, 136, 796]","[853, 684, 1280, 1026]",area_shape_shadow_ball,0.7911111111111111,1.0,120.61235809326172
10044,4,r0_c0,222,single_ball_background_mixed,425.0,"[73, 293, 104, 311]","[73, 293, 104, 311]","[219, 879, 312, 934]","[0, 0, 427, 342]",area_shape_single_ball_background_mixed,0.7616487455197133,0.5806451612903226,120.4800033569336
10045,4,r2_c1,53,shadow_ball,178.0,"[499, 826, 514, 841]","[72, 142, 87, 157]","[216, 427, 261, 472]","[427, 684, 853, 1026]",area_shape_shadow_ball,0.7911111111111111,1.0,119.28651428222656
10046,2,r2_c2,240,interference,185.0,"[869, 876, 884, 905]","[16, 192, 31, 221]","[49, 577, 92, 663]","[853, 684, 1280, 1026]",area_shape_interference,0.42528735632183906,0.5172413793103449,118.39459228515625
10047,2,r1_c1,364,interference,188.0,"[462, 675, 487, 684]","[35, 333, 60, 342]","[104, 999, 181, 1026]","[427, 342, 853, 684]",area_shape_interference,0.8355555555555556,0.36,124.23403930664062
10048,1,r0_c1,292,shadow_ball,128.0,"[791, 96, 804, 110]","[364, 96, 377, 110]","[1095, 287, 1133, 330]","[427, 0, 853, 342]",area_shape_shadow_ball,0.7032967032967034,0.9285714285714286,119.6015625
10049,5,r2_c2,44,single_ball_background_mixed,304.0,"[1238, 980, 1260, 1006]","[385, 296, 407, 322]","[1153, 887, 1221, 966]","[853, 684, 1280, 1026]",area_shape_single_ball_background_mixed,0.5314685314685315,0.8461538461538461,138.2269744873047
10050,3,r0_c2,219,single_ball_background_mixed,388.0,"[1007, 161, 1026, 192]","[154, 161, 173, 192]","[461, 482, 518, 577]","[853, 0, 1280, 342]",area_shape_single_ball_background_mixed,0.6587436332767402,0.6129032258064516,128.86856079101562
10051,2,r2_c0,364,single_ball_background_mixed,345.0,"[182, 816, 198, 845]","[182, 132, 198, 161]","[545, 396, 595, 482]","[0, 684, 427, 1026]",area_shape_single_ball_background_mixed,0.7435344827586207,0.5517241379310345,114.8202896118164
10052,2,r0_c2,162,shadow_ball,177.0,"[1010, 222, 1025, 237]","[157, 222, 172, 237]","[471, 665, 515, 711]","[853, 0, 1280, 342]",area_shape_shadow_ball,0.7866666666666666,1.0,113.71186065673828
10053,2,r1_c0,359,shadow_double_ball_cluster,358.0,"[68, 623, 85, 652]","[68, 281, 85, 310]","[203, 842, 256, 930]","[0, 342, 427, 684]",area_shape_shadow_double_ball_cluster,0.7261663286004056,0.5862068965517241,116.30167388916016
10054,3,r2_c2,299,double_ball_cluster,358.0,"[860, 795, 875, 824]","[7, 111, 22, 140]","[20, 333, 65, 421]","[853, 684, 1280, 1026]",area_shape_double_ball_cluster,0.8229885057471265,0.5172413793103449,126.3296127319336
10055,5,r0_c0,117,real_ball,143.0,"[90, 93, 102, 107]","[90, 93, 102, 107]","[269, 278, 307, 320]","[0, 0, 427, 342]",area_shape_real_ball,0.8511904761904762,0.8571428571428571,127.6783218383789
10056,1,r1_c1,11,real_ball,177.0,"[499, 390, 514, 405]","[72, 48, 87, 63]","[216, 143, 261, 188]","[427, 342, 853, 684]",area_shape_real_ball,0.7866666666666666,1.0,130.9717559814453
10057,2,r1_c1,94,shadow_ball,177.0,"[638, 558, 653, 573]","[211, 216, 226, 231]","[634, 648, 681, 693]","[427, 342, 853, 684]",area_shape_shadow_ball,0.7866666666666666,1.0,116.96610260009766
10058,3,r0_c1,318,single_ball_background_mixed,319.0,"[552, 128, 581, 155]","[125, 128, 154, 155]","[375, 384, 463, 465]","[427, 0, 853, 342]",area_shape_single_ball_background_mixed,0.4074074074074074,0.9310344827586207,125.16300964355469
10059,1,r1_c0,94,shadow_ball,178.0,"[274, 544, 289, 559]","[274, 202, 289, 217]","[821, 605, 866, 651]","[0, 342, 427, 684]",area_shape_shadow_ball,0.7911111111111111,1.0,121.01123809814453
10060,2,r1_c1,362,shadow_double_ball_cluster,337.0,"[796, 372, 812, 402]","[369, 30, 385, 60]","[1109, 91, 1158, 179]","[427, 342, 853, 684]",area_shape_shadow_double_ball_cluster,0.7020833333333333,0.5333333333333333,113.3175048828125
10061,6,r1_c0,238,shadow_ball,227.0,"[209, 577, 225, 596]","[209, 235, 225, 254]","[626, 706, 675, 761]","[0, 342, 427, 684]",area_shape_shadow_ball,0.7467105263157895,0.8421052631578947,118.35242462158203
10062,2,r2_c1,8,shadow_ball,178.0,"[502, 721, 517, 736]","[75, 37, 90, 52]","[224, 112, 270, 157]","[427, 684, 853, 1026]",area_shape_shadow_ball,0.7911111111111111,1.0,118.38201904296875
10063,2,r0_c1,363,shadow_double_ball_cluster,359.0,"[578, 42, 607, 63]","[151, 42, 180, 63]","[455, 127, 540, 189]","[427, 0, 853, 342]",area_shape_shadow_double_ball_cluster,0.5894909688013136,0.7241379310344828,114.7381591796875
10064,2,r0_c2,374,shadow_double_ball_cluster,358.0,"[1161, 41, 1177, 71]","[308, 41, 324, 71]","[922, 122, 971, 213]","[853, 0, 1280, 342]",area_shape_shadow_double_ball_cluster,0.7458333333333333,0.5333333333333333,116.26815795898438
10065,5,r2_c2,101,real_ball,184.0,"[939, 900, 954, 916]","[86, 216, 101, 232]","[257, 649, 302, 695]","[853, 684, 1280, 1026]",area_shape_real_ball,0.7666666666666667,0.9375,129.81521606445312
10066,6,r0_c0,241,double_ball_cluster,339.0,"[148, 322, 171, 342]","[148, 322, 171, 342]","[443, 967, 513, 1025]","[0, 0, 427, 342]",area_shape_double_ball_cluster,0.7369565217391304,0.8695652173913043,135.9705047607422
10067,1,r2_c0,303,double_ball_cluster,378.0,"[216, 916, 235, 945]","[216, 232, 235, 261]","[647, 696, 703, 784]","[0, 684, 427, 1026]",area_shape_double_ball_cluster,0.6860254083484574,0.6551724137931034,127.67195892333984
10068,2,r0_c1,199,shadow_ball,177.0,"[588, 13, 603, 28]","[161, 13, 176, 28]","[484, 39, 529, 83]","[427, 0, 853, 342]",area_shape_shadow_ball,0.7866666666666666,1.0,119.57061767578125
10069,3,r2_c1,186,interference,43.0,"[427, 952, 434, 960]","[0, 268, 7, 276]","[0, 804, 21, 829]","[427, 684, 853, 1026]",area_shape_interference,0.7678571428571429,0.875,97.97674560546875
10070,4,r2_c2,193,real_ball,177.0,"[1212, 772, 1227, 787]","[359, 88, 374, 103]","[1076, 263, 1121, 308]","[853, 684, 1280, 1026]",area_shape_real_ball,0.7866666666666666,1.0,133.10169982910156
10071,1,r1_c2,386,single_ball_background_mixed,374.0,"[912, 420, 943, 455]","[59, 78, 90, 113]","[176, 234, 271, 339]","[853, 342, 1280, 684]",area_shape_single_ball_background_mixed,0.34470046082949307,0.8857142857142857,124.94384765625
10072,5,r1_c0,216,shadow_double_ball_cluster,356.0,"[170, 643, 185, 672]","[170, 301, 185, 330]","[509, 903, 554, 991]","[0, 342, 427, 684]",area_shape_shadow_double_ball_cluster,0.8183908045977012,0.5172413793103449,122.07022094726562
10073,3,r0_c2,240,double_ball_cluster,356.0,"[1018, 52, 1034, 82]","[165, 52, 181, 82]","[496, 156, 543, 245]","[853, 0, 1280, 342]",area_shape_double_ball_cluster,0.7416666666666667,0.5333333333333333,123.34550476074219
10074,2,r0_c2,184,shadow_ball,202.0,"[1226, 1, 1243, 16]","[373, 1, 390, 16]","[1119, 4, 1169, 49]","[853, 0, 1280, 342]",area_shape_shadow_ball,0.792156862745098,0.8823529411764706,120.22772216796875
10075,8,r0_c2,65,interference,74.0,"[1224, 82, 1234, 92]","[371, 82, 381, 92]","[1112, 247, 1141, 275]","[853, 0, 1280, 342]",area_shape_interference,0.74,1.0,132.3918914794922
10076,3,r1_c2,312,interference,193.0,"[958, 486, 976, 510]","[105, 144, 123, 168]","[316, 431, 370, 504]","[853, 342, 1280, 684]",area_shape_interference,0.44675925925925924,0.75,125.44559478759766
10077,4,r2_c1,78,interference,127.0,"[608, 1001, 624, 1019]","[181, 317, 197, 335]","[545, 950, 592, 1006]","[427, 684, 853, 1026]",area_shape_interference,0.4409722222222222,0.8888888888888888,185.50393676757812
10078,1,r1_c1,342,shadow_double_ball_cluster,284.0,"[725, 420, 743, 442]","[298, 78, 316, 100]","[896, 235, 950, 299]","[427, 342, 853, 684]",area_shape_shadow_double_ball_cluster,0.7171717171717171,0.8181818181818182,108.9366226196289
10079,4,r2_c0,155,shadow_ball,170.0,"[47, 760, 61, 775]","[47, 76, 61, 91]","[140, 229, 183, 274]","[0, 684, 427, 1026]",area_shape_shadow_ball,0.8095238095238095,0.9333333333333333,110.14117431640625
10080,2,r1_c0,350,single_ball_background_mixed,359.0,"[230, 614, 247, 663]","[230, 272, 247, 321]","[688, 816, 739, 964]","[0, 342, 427, 684]",area_shape_single_ball_background_mixed,0.4309723889555822,0.3469387755102041,120.15877532958984
10081,8,r2_c1,31,interference,127.0,"[608, 1001, 624, 1019]","[181, 317, 197, 335]","[545, 950, 592, 1006]","[427, 684, 853, 1026]",area_shape_interference,0.4409722222222222,0.8888888888888888,185.50393676757812
10082,2,r0_c1,297,interference,209.0,"[430, 145, 446, 176]","[3, 145, 19, 176]","[8, 435, 57, 527]","[427, 0, 853, 342]",area_shape_interference,0.4213709677419355,0.5161290322580645,122.55502319335938
10083,8,r2_c1,57,single_ball_background_mixed,392.0,"[545, 752, 572, 779]","[118, 68, 145, 95]","[354, 204, 437, 284]","[427, 684, 853, 1026]",area_shape_single_ball_background_mixed,0.5377229080932785,1.0,146.65306091308594
10084,5,r1_c2,278,shadow_double_ball_cluster,360.0,"[1046, 620, 1074, 638]","[193, 278, 221, 296]","[578, 834, 663, 888]","[853, 342, 1280, 684]",area_shape_shadow_double_ball_cluster,0.7142857142857143,0.6428571428571429,116.78055572509766
10085,6,r2_c2,139,single_ball_background_mixed,313.0,"[902, 1001, 932, 1019]","[49, 317, 79, 335]","[146, 950, 236, 1006]","[853, 684, 1280, 1026]",area_shape_single_ball_background_mixed,0.5796296296296296,0.6,161.69967651367188
10086,2,r2_c0,334,shadow_double_ball_cluster,356.0,"[237, 756, 266, 775]","[237, 72, 266, 91]","[709, 216, 796, 274]","[0, 684, 427, 1026]",area_shape_shadow_double_ball_cluster,0.6460980036297641,0.6551724137931034,115.82303619384766
10087,3,r1_c0,28,shadow_ball,178.0,"[146, 410, 161, 425]","[146, 68, 161, 83]","[438, 203, 482, 249]","[0, 342, 427, 684]",area_shape_shadow_ball,0.7911111111111111,1.0,119.01123809814453
10088,2,r1_c2,366,shadow_double_ball_cluster,380.0,"[1129, 442, 1159, 470]","[276, 100, 306, 128]","[827, 300, 916, 384]","[853, 342, 1280, 684]",area_shape_shadow_double_ball_cluster,0.4523809523809524,0.9333333333333333,119.0
10089,4,r1_c0,296,single_ball_background_mixed,337.0,"[306, 422, 321, 464]","[306, 80, 321, 122]","[916, 240, 962, 367]","[0, 342, 427, 684]",area_shape_single_ball_background_mixed,0.5349206349206349,0.35714285714285715,122.88130187988281
10090,4,r0_c2,281,interference,57.0,"[1232, 58, 1240, 68]","[379, 58, 387, 68]","[1135, 175, 1159, 205]","[853, 0, 1280, 342]",area_shape_interference,0.7125,0.8,125.29824829101562
10091,4,r2_c2,89,single_ball_background_mixed,304.0,"[1238, 980, 1260, 1006]","[385, 296, 407, 322]","[1153, 887, 1221, 966]","[853, 684, 1280, 1026]",area_shape_single_ball_background_mixed,0.5314685314685315,0.8461538461538461,138.2269744873047
10092,3,r1_c2,334,double_ball_cluster,522.0,"[1000, 441, 1027, 465]","[147, 99, 174, 123]","[442, 296, 522, 369]","[853, 342, 1280, 684]",area_shape_double_ball_cluster,0.8055555555555556,0.8888888888888888,130.6839141845703
10093,6,r1_c2,14,real_ball,178.0,"[1035, 611, 1050, 626]","[182, 269, 197, 284]","[546, 807, 592, 852]","[853, 342, 1280, 684]",area_shape_real_ball,0.7911111111111111,1.0,129.82022094726562
10094,2,r2_c1,337,shadow_double_ball_cluster,356.0,"[515, 856, 532, 886]","[88, 172, 105, 202]","[265, 517, 314, 607]","[427, 684, 853, 1026]",area_shape_shadow_double_ball_cluster,0.6980392156862745,0.5666666666666667,108.35111999511719
10095,1,r2_c1,242,shadow_double_ball_cluster,401.0,"[534, 843, 556, 870]","[107, 159, 129, 186]","[321, 478, 388, 558]","[427, 684, 853, 1026]",area_shape_shadow_double_ball_cluster,0.6750841750841751,0.8148148148148148,117.39900207519531
10096,5,r0_c2,166,shadow_double_ball_cluster,359.0,"[903, 130, 926, 152]","[50, 130, 73, 152]","[151, 389, 218, 457]","[853, 0, 1280, 342]",area_shape_shadow_double_ball_cluster,0.7094861660079052,0.9565217391304348,114.79386901855469
10097,6,r2_c1,67,shadow_ball,184.0,"[508, 738, 523, 754]","[81, 54, 96, 70]","[243, 162, 287, 210]","[427, 684, 853, 1026]",area_shape_shadow_ball,0.7666666666666667,0.9375,119.95108795166016
10098,2,r0_c2,370,shadow_ball,228.0,"[953, 207, 971, 224]","[100, 207, 118, 224]","[299, 621, 354, 672]","[853, 0, 1280, 342]",area_shape_shadow_ball,0.7450980392156863,0.9444444444444444,121.03508758544922
10099,1,r0_c0,160,shadow_double_ball_cluster,274.0,"[254, 33, 271, 54]","[254, 33, 271, 54]","[762, 99, 813, 161]","[0, 0, 427, 342]",area_shape_shadow_double_ball_cluster,0.7675070028011205,0.8095238095238095,121.21533203125
10100,2,r2_c0,361,single_ball_background_mixed,322.0,"[371, 929, 389, 957]","[371, 245, 389, 273]","[1113, 735, 1166, 818]","[0, 684, 427, 1026]",area_shape_single_ball_background_mixed,0.6388888888888888,0.6428571428571429,113.53726959228516
10101,2,r0_c0,409,shadow_double_ball_cluster,278.0,"[318, 148, 337, 169]","[318, 148, 337, 169]","[952, 445, 1012, 507]","[0, 0, 427, 342]",area_shape_shadow_double_ball_cluster,0.6967418546365914,0.9047619047619048,93.86690521240234
10102,3,r0_c2,255,interference,70.0,"[1132, 68, 1141, 78]","[279, 68, 288, 78]","[837, 204, 864, 233]","[853, 0, 1280, 342]",area_shape_interference,0.7777777777777778,0.9,114.05714416503906
10103,2,r2_c1,44,shadow_ball,183.0,"[581, 933, 598, 947]","[154, 249, 171, 263]","[464, 748, 513, 790]","[427, 684, 853, 1026]",area_shape_shadow_ball,0.7689075630252101,0.8235294117647058,113.84699249267578
10104,6,r0_c2,156,double_ball_cluster,399.0,"[939, 128, 957, 159]","[86, 128, 104, 159]","[259, 383, 343, 476]","[853, 0, 1280, 342]",area_shape_double_ball_cluster,0.7150537634408602,0.5806451612903226,143.75437927246094
10105,4,r1_c2,65,real_ball,178.0,"[1003, 597, 1018, 612]","[150, 255, 165, 270]","[450, 765, 495, 811]","[853, 342, 1280, 684]",area_shape_real_ball,0.7911111111111111,1.0,127.14044952392578
10106,1,r0_c2,439,shadow_double_ball_cluster,354.0,"[1222, 200, 1237, 230]","[369, 200, 384, 230]","[1105, 582, 1151, 689]","[853, 0, 1280, 342]",area_shape_shadow_double_ball_cluster,0.7866666666666666,0.5,119.2598876953125
10107,1,r2_c1,50,double_ball_cluster,390.0,"[606, 910, 629, 934]","[179, 226, 202, 250]","[539, 677, 606, 750]","[427, 684, 853, 1026]",area_shape_double_ball_cluster,0.7065217391304348,0.9583333333333334,123.24615478515625
10108,2,r1_c0,365,shadow_double_ball_cluster,363.0,"[147, 626, 167, 656]","[147, 284, 167, 314]","[441, 853, 502, 941]","[0, 342, 427, 684]",area_shape_shadow_double_ball_cluster,0.605,0.6666666666666666,113.95317077636719
10109,8,r1_c1,118,interference,36.0,"[680, 624, 687, 631]","[253, 282, 260, 289]","[760, 846, 782, 866]","[427, 342, 853, 684]",area_shape_interference,0.7346938775510204,1.0,134.05555725097656
10110,5,r0_c1,307,interference,41.0,"[806, 316, 815, 322]","[379, 316, 388, 322]","[1138, 949, 1165, 967]","[427, 0, 853, 342]",area_shape_interference,0.7592592592592593,0.6666666666666666,135.97561645507812
10111,8,r0_c0,173,interference,68.0,"[190, 79, 198, 90]","[190, 79, 198, 90]","[569, 237, 594, 270]","[0, 0, 427, 342]",area_shape_interference,0.7727272727272727,0.7272727272727273,135.83824157714844
10112,1,r0_c2,401,shadow_double_ball_cluster,283.0,"[1005, 136, 1023, 156]","[152, 136, 170, 156]","[454, 409, 510, 469]","[853, 0, 1280, 342]",area_shape_shadow_double_ball_cluster,0.7861111111111111,0.9,114.23321533203125
10113,3,r0_c1,369,interference,124.0,"[846, 97, 853, 119]","[419, 97, 426, 119]","[1258, 291, 1280, 357]","[427, 0, 853, 342]",area_shape_interference,0.8051948051948052,0.3181818181818182,85.25806427001953
10114,2,r1_c2,364,single_ball_background_mixed,330.0,"[960, 521, 986, 543]","[107, 179, 133, 201]","[320, 537, 399, 604]","[853, 342, 1280, 684]",area_shape_single_ball_background_mixed,0.5769230769230769,0.8461538461538461,118.54545593261719
10115,4,r2_c2,86,shadow_ball,162.0,"[1100, 821, 1115, 835]","[247, 137, 262, 151]","[740, 410, 784, 452]","[853, 684, 1280, 1026]",area_shape_shadow_ball,0.7714285714285715,0.9333333333333333,109.99382781982422
10116,5,r2_c1,257,interference,74.0,"[627, 721, 639, 729]","[200, 37, 212, 45]","[601, 110, 637, 136]","[427, 684, 853, 1026]",area_shape_interference,0.7708333333333334,0.6666666666666666,117.8108139038086
10117,6,r0_c0,30,double_ball_cluster,358.0,"[7, 255, 24, 284]","[7, 255, 24, 284]","[21, 764, 72, 853]","[0, 0, 427, 342]",area_shape_double_ball_cluster,0.7261663286004056,0.5862068965517241,131.35475158691406
