candidate_id,tile_id,mask_index,label,note,selection_rule,bbox_xyxy,local_bbox_xyxy,tile_box_xyxy,area,sam_score
19,r1_c5,299,interference,,double_ball_cluster_candidate_sampling,"[1215,173,1224,187]","[148,2,157,16]","[1067,171,1280,342]",88,0.9209673404693604
20,r0_c5,330,double_ball_cluster,,double_ball_cluster_candidate_sampling,"[1222,38,1236,48]","[155,38,169,48]","[1067,0,1280,171]",88,0.9188200235366821
21,r3_c2,295,double_ball_cluster,,double_ball_cluster_candidate_sampling,"[586,544,596,558]","[159,31,169,45]","[427,513,640,684]",88,0.9328082799911499
22,r2_c4,69,interference,,double_ball_cluster_candidate_sampling,"[962,344,972,359]","[109,2,119,17]","[853,342,1067,513]",92,0.9630618691444397
23,r1_c3,56,interference,,double_ball_cluster_candidate_sampling,"[788,221,797,237]","[148,50,157,66]","[640,171,853,342]",92,0.962256669998169
24,r5_c0,114,interference,,double_ball_cluster_candidate_sampling,"[0,946,9,960]","[0,91,9,105]","[0,855,213,1026]",83,0.9412369728088379
25,r1_c2,38,interference,,double_ball_cluster_candidate_sampling,"[510,216,524,225]","[83,45,97,54]","[427,171,640,342]",91,0.9669821858406067
26,r0_c3,296,interference,,double_ball_cluster_candidate_sampling,"[654,83,668,91]","[14,83,28,91]","[640,0,853,171]",88,0.927121639251709
27,r1_c0,202,double_ball_cluster,,double_ball_cluster_candidate_sampling,"[101,182,110,196]","[101,11,110,25]","[0,171,213,342]",87,0.9299070835113525
28,r2_c3,277,double_ball_cluster,,double_ball_cluster_candidate_sampling,"[734,491,744,505]","[94,149,104,163]","[640,342,853,513]",87,0.8981231451034546
29,r2_c0,175,double_ball_cluster,,double_ball_cluster_candidate_sampling,"[19,406,35,416]","[19,64,35,74]","[0,342,213,513]",92,0.9454282522201538
30,r2_c1,296,double_ball_cluster,,double_ball_cluster_candidate_sampling,"[221,460,235,470]","[8,118,22,128]","[213,342,427,513]",90,0.9239803552627563
31,r4_c4,46,double_ball_cluster,,double_ball_cluster_candidate_sampling,"[987,784,1001,794]","[134,100,148,110]","[853,684,1067,855]",90,0.9665230512619019
32,r3_c2,381,double_ball_cluster,,double_ball_cluster_candidate_sampling,"[550,577,559,591]","[123,64,132,78]","[427,513,640,684]",89,0.907570481300354
33,r4_c0,166,shadow_double_ball_cluster,,double_ball_cluster_candidate_sampling,"[27,711,41,720]","[27,27,41,36]","[0,684,213,855]",89,0.9495481252670288
34,r3_c2,403,double_ball_cluster,,double_ball_cluster_candidate_sampling,"[473,585,482,599]","[46,72,55,86]","[427,513,640,684]",88,0.8888312578201294
35,r3_c5,57,interference,,double_ball_cluster_candidate_sampling,"[1156,601,1165,614]","[89,88,98,101]","[1067,513,1280,684]",88,0.9651107788085938
36,r3_c5,113,interference,,double_ball_cluster_candidate_sampling,"[1209,523,1218,538]","[142,10,151,25]","[1067,513,1280,684]",95,0.9557264447212219
37,r0_c2,250,double_ball_cluster,,double_ball_cluster_candidate_sampling,"[446,110,455,124]","[19,110,28,124]","[427,0,640,171]",83,0.9353050589561462
38,r3_c0,321,interference,,double_ball_cluster_candidate_sampling,"[104,517,113,532]","[104,4,113,19]","[0,513,213,684]",94,0.9259599447250366
39,r3_c5,260,double_ball_cluster,,double_ball_cluster_candidate_sampling,"[1247,624,1257,640]","[180,111,190,127]","[1067,513,1280,684]",95,0.908004641532898
40,r1_c2,256,double_ball_cluster,,double_ball_cluster_candidate_sampling,"[534,236,548,246]","[107,65,121,75]","[427,171,640,342]",91,0.8987857103347778
41,r1_c3,34,double_ball_cluster,,double_ball_cluster_candidate_sampling,"[734,191,748,201]","[94,20,108,30]","[640,171,853,342]",91,0.9686561822891235
42,r1_c0,245,double_ball_cluster,,double_ball_cluster_candidate_sampling,"[56,178,66,192]","[56,7,66,21]","[0,171,213,342]",86,0.9092108011245728
43,r3_c4,243,double_ball_cluster,,double_ball_cluster_candidate_sampling,"[969,543,983,553]","[116,30,130,40]","[853,513,1067,684]",86,0.9307510852813721
44,r2_c0,279,shadow_double_ball_cluster,,double_ball_cluster_candidate_sampling,"[53,393,67,401]","[53,51,67,59]","[0,342,213,513]",88,0.9249509572982788
45,r2_c0,347,double_ball_cluster,,double_ball_cluster_candidate_sampling,"[122,495,136,503]","[122,153,136,161]","[0,342,213,513]",88,0.8862581253051758
46,r3_c4,147,interference,,double_ball_cluster_candidate_sampling,"[1053,595,1067,603]","[200,82,214,90]","[853,513,1067,684]",88,0.9513591527938843
47,r0_c4,88,interference,,double_ball_cluster_candidate_sampling,"[909,126,923,136]","[56,126,70,136]","[853,0,1067,171]",85,0.965994119644165
48,r0_c5,365,double_ball_cluster,,double_ball_cluster_candidate_sampling,"[1196,124,1206,138]","[129,124,139,138]","[1067,0,1280,171]",85,0.9008851051330566
49,r5_c2,158,shadow_double_ball_cluster,,double_ball_cluster_candidate_sampling,"[548,915,562,925]","[121,60,135,70]","[427,855,640,1026]",85,0.893562912940979
50,r5_c2,83,double_ball_cluster,,double_ball_cluster_candidate_sampling,"[451,903,460,917]","[24,48,33,62]","[427,855,640,1026]",90,0.955150842666626
51,r3_c4,14,double_ball_cluster,,double_ball_cluster_candidate_sampling,"[963,649,973,663]","[110,136,120,150]","[853,513,1067,684]",90,0.9789316654205322
52,r3_c3,326,double_ball_cluster,,double_ball_cluster_candidate_sampling,"[719,621,728,635]","[79,108,88,122]","[640,513,853,684]",82,0.8916960954666138
53,r4_c1,203,double_ball_cluster,,double_ball_cluster_candidate_sampling,"[385,707,394,721]","[172,23,181,37]","[213,684,427,855]",82,0.9312262535095215
54,r1_c5,124,interference,,double_ball_cluster_candidate_sampling,"[1258,191,1271,201]","[191,20,204,30]","[1067,171,1280,342]",88,0.9587230682373047
55,r3_c5,200,shadow_double_ball_cluster,,double_ball_cluster_candidate_sampling,"[1236,554,1249,564]","[169,41,182,51]","[1067,513,1280,684]",88,0.9352966547012329
56,r2_c3,213,interference,,double_ball_cluster_candidate_sampling,"[680,418,688,432]","[40,76,48,90]","[640,342,853,513]",84,0.9336121082305908
57,r2_c1,376,double_ball_cluster,,double_ball_cluster_candidate_sampling,"[356,444,365,458]","[143,102,152,116]","[213,342,427,513]",83,0.8832073211669922
58,r3_c2,152,interference,,double_ball_cluster_candidate_sampling,"[620,645,629,658]","[193,132,202,145]","[427,513,640,684]",88,0.9566359519958496
59,r3_c4,320,double_ball_cluster,,double_ball_cluster_candidate_sampling,"[978,590,987,605]","[125,77,134,92]","[853,513,1067,684]",95,0.8860201835632324
60,r5_c3,67,double_ball_cluster,,double_ball_cluster_candidate_sampling,"[641,920,651,934]","[1,65,11,79]","[640,855,853,1026]",92,0.9650336503982544
61,r0_c2,108,interference,,double_ball_cluster_candidate_sampling,"[590,152,605,160]","[163,152,178,160]","[427,0,640,171]",87,0.9634358882904053
62,r2_c1,194,double_ball_cluster,,double_ball_cluster_candidate_sampling,"[265,437,274,451]","[52,95,61,109]","[213,342,427,513]",92,0.9493700265884399
63,r5_c3,142,double_ball_cluster,,double_ball_cluster_candidate_sampling,"[697,901,712,910]","[57,46,72,55]","[640,855,853,1026]",94,0.931039571762085
64,r0_c4,302,double_ball_cluster,,double_ball_cluster_candidate_sampling,"[932,6,945,15]","[79,6,92,15]","[853,0,1067,171]",85,0.9289811849594116
65,r2_c2,216,double_ball_cluster,,double_ball_cluster_candidate_sampling,"[476,479,489,489]","[49,137,62,147]","[427,342,640,513]",87,0.9310451745986938
66,r3_c5,52,interference,,double_ball_cluster_candidate_sampling,"[1216,604,1229,614]","[149,91,162,101]","[1067,513,1280,684]",87,0.966105580329895
67,r1_c3,140,interference,,double_ball_cluster_candidate_sampling,"[656,296,669,304]","[16,125,29,133]","[640,171,853,342]",87,0.9419263601303101
68,r4_c3,212,interference,,double_ball_cluster_candidate_sampling,"[667,842,680,850]","[27,158,40,166]","[640,684,853,855]",87,0.9367279410362244
69,r2_c1,134,double_ball_cluster,,double_ball_cluster_candidate_sampling,"[281,403,289,417]","[68,61,76,75]","[213,342,427,513]",86,0.9597510099411011
70,r4_c1,267,double_ball_cluster,,double_ball_cluster_candidate_sampling,"[287,784,300,792]","[74,100,87,108]","[213,684,427,855]",86,0.9029779434204102
71,r3_c0,265,shadow_double_ball_cluster,,double_ball_cluster_candidate_sampling,"[197,669,210,677]","[197,156,210,164]","[0,513,213,684]",85,0.9400118589401245
72,r3_c0,305,shadow_double_ball_cluster,,double_ball_cluster_candidate_sampling,"[150,570,163,578]","[150,57,163,65]","[0,513,213,684]",85,0.9308384656906128
73,r3_c1,172,interference,,double_ball_cluster_candidate_sampling,"[347,578,355,591]","[134,65,142,78]","[213,513,427,684]",85,0.9561437964439392
74,r3_c3,293,double_ball_cluster,,double_ball_cluster_candidate_sampling,"[755,619,763,632]","[115,106,123,119]","[640,513,853,684]",85,0.9143524169921875
75,r1_c3,80,interference,,double_ball_cluster_candidate_sampling,"[665,171,680,179]","[25,0,40,8]","[640,171,853,342]",89,0.9581501483917236
76,r0_c0,22,interference,,double_ball_cluster_candidate_sampling,"[126,102,135,115]","[126,102,135,115]","[0,0,213,171]",87,0.9740805625915527
77,r1_c1,71,interference,,double_ball_cluster_candidate_sampling,"[299,241,309,254]","[86,70,96,83]","[213,171,427,342]",89,0.9613577723503113
78,r0_c0,284,shadow_double_ball_cluster,,double_ball_cluster_candidate_sampling,"[28,113,41,121]","[28,113,41,121]","[0,0,213,171]",82,0.9119839668273926
79,r0_c5,322,interference,,double_ball_cluster_candidate_sampling,"[1116,101,1129,110]","[49,101,62,110]","[1067,0,1280,171]",84,0.920701265335083
80,r0_c0,4,interference,,double_ball_cluster_candidate_sampling,"[0,32,9,45]","[0,32,9,45]","[0,0,213,171]",90,0.9819134473800659
81,r5_c3,117,interference,,double_ball_cluster_candidate_sampling,"[820,924,828,938]","[180,69,188,83]","[640,855,853,1026]",85,0.9462094902992249
82,r4_c2,153,double_ball_cluster,,double_ball_cluster_candidate_sampling,"[459,828,469,841]","[32,144,42,157]","[427,684,640,855]",86,0.9467805624008179
83,r2_c2,48,interference,,double_ball_cluster_candidate_sampling,"[485,403,493,416]","[58,61,66,74]","[427,342,640,513]",81,0.9668325185775757
84,r5_c0,3,interference,,double_ball_cluster_candidate_sampling,"[45,952,58,960]","[45,97,58,105]","[0,855,213,1026]",81,0.988416850566864
85,r2_c5,143,double_ball_cluster,,double_ball_cluster_candidate_sampling,"[1146,464,1156,477]","[79,122,89,135]","[1067,342,1280,513]",88,0.9478439092636108
86,r4_c5,69,interference,,double_ball_cluster_candidate_sampling,"[1241,693,1251,706]","[174,9,184,22]","[1067,684,1280,855]",88,0.9583395719528198
87,r1_c1,204,interference,,double_ball_cluster_candidate_sampling,"[324,268,332,281]","[111,97,119,110]","[213,171,427,342]",87,0.930639386177063
88,r3_c0,237,interference,,double_ball_cluster_candidate_sampling,"[93,643,106,651]","[93,130,106,138]","[0,513,213,684]",84,0.9445223808288574
89,r0_c4,148,interference,,double_ball_cluster_candidate_sampling,"[981,142,989,156]","[128,142,136,156]","[853,0,1067,171]",87,0.9577876329421997
90,r0_c5,308,interference,,double_ball_cluster_candidate_sampling,"[1127,42,1140,51]","[60,42,73,51]","[1067,0,1280,171]",86,0.9259295463562012
91,r1_c0,219,interference,,double_ball_cluster_candidate_sampling,"[96,224,105,237]","[96,53,105,66]","[0,171,213,342]",86,0.9229400753974915
92,r1_c3,203,double_ball_cluster,,double_ball_cluster_candidate_sampling,"[661,195,670,209]","[21,24,30,38]","[640,171,853,342]",93,0.9162499904632568
93,r5_c4,103,interference,,double_ball_cluster_candidate_sampling,"[929,891,942,902]","[76,36,89,47]","[853,855,1067,1026]",88,0.9252004623413086
94,r1_c5,64,single_ball_background_mixed,,double_ball_cluster_candidate_sampling,"[1195,174,1204,187]","[128,3,137,16]","[1067,171,1280,342]",83,0.9675585031509399
95,r2_c1,227,interference,,double_ball_cluster_candidate_sampling,"[273,375,286,384]","[60,33,73,42]","[213,342,427,513]",83,0.9433269500732422
96,r3_c5,256,double_ball_cluster,,double_ball_cluster_candidate_sampling,"[1135,627,1145,641]","[68,114,78,128]","[1067,513,1280,684]",92,0.9099123477935791
97,r1_c5,38,double_ball_cluster,,double_ball_cluster_candidate_sampling,"[1168,195,1182,203]","[101,24,115,32]","[1067,171,1280,342]",84,0.9718887805938721
98,r2_c2,42,interference,,double_ball_cluster_candidate_sampling,"[497,469,507,482]","[70,127,80,140]","[427,342,640,513]",85,0.9683374762535095
99,r3_c5,164,interference,,double_ball_cluster_candidate_sampling,"[1272,568,1280,581]","[205,55,213,68]","[1067,513,1280,684]",80,0.9467332363128662
100,r1_c0,10,interference,,double_ball_cluster_candidate_sampling,"[116,183,124,197]","[116,12,124,26]","[0,171,213,342]",91,0.9815397262573242
101,r2_c1,316,interference,,double_ball_cluster_candidate_sampling,"[226,390,234,404]","[13,48,21,62]","[213,342,427,513]",81,0.9187589883804321
102,r2_c4,254,double_ball_cluster,,double_ball_cluster_candidate_sampling,"[938,427,946,440]","[85,85,93,98]","[853,342,1067,513]",86,0.9055092334747314
103,r3_c1,224,single_ball_background_mixed,,double_ball_cluster_candidate_sampling,"[371,556,384,564]","[158,43,171,51]","[213,513,427,684]",83,0.9486315250396729
104,r2_c1,314,double_ball_cluster,,double_ball_cluster_candidate_sampling,"[369,439,379,454]","[156,97,166,112]","[213,342,427,513]",97,0.9188846349716187
105,r0_c0,36,interference,,double_ball_cluster_candidate_sampling,"[90,26,100,39]","[90,26,100,39]","[0,0,213,171]",90,0.9708878397941589
106,r1_c3,211,double_ball_cluster,,double_ball_cluster_candidate_sampling,"[783,237,791,251]","[143,66,151,80]","[640,171,853,342]",89,0.9074681401252747
107,r4_c2,252,double_ball_cluster,,double_ball_cluster_candidate_sampling,"[579,779,593,787]","[152,95,166,103]","[427,684,640,855]",89,0.9155429601669312
108,r2_c5,46,interference,,double_ball_cluster_candidate_sampling,"[1157,393,1166,407]","[90,51,99,65]","[1067,342,1280,513]",95,0.9684556722640991
109,r3_c3,318,interference,,double_ball_cluster_candidate_sampling,"[666,532,675,545]","[26,19,35,32]","[640,513,853,684]",82,0.897914707660675
110,r3_c3,330,single_ball_background_mixed,,double_ball_cluster_candidate_sampling,"[822,614,835,623]","[182,101,195,110]","[640,513,853,684]",82,0.8856606483459473
111,r2_c3,227,single_ball_background_mixed,,double_ball_cluster_candidate_sampling,"[764,448,772,463]","[124,106,132,121]","[640,342,853,513]",89,0.926878809928894
112,r3_c3,103,interference,,double_ball_cluster_candidate_sampling,"[658,541,666,554]","[18,28,26,41]","[640,513,853,684]",79,0.9620971083641052
113,r1_c1,192,interference,,double_ball_cluster_candidate_sampling,"[315,188,328,198]","[102,17,115,27]","[213,171,427,342]",84,0.9364035129547119
114,r1_c4,277,single_ball_background_mixed,,double_ball_cluster_candidate_sampling,"[999,191,1009,204]","[146,20,156,33]","[853,171,1067,342]",84,0.9174215793609619
115,r4_c4,121,interference,,double_ball_cluster_candidate_sampling,"[923,688,936,698]","[70,4,83,14]","[853,684,1067,855]",84,0.9503085017204285
116,r0_c2,312,double_ball_cluster,,double_ball_cluster_candidate_sampling,"[428,31,441,41]","[1,31,14,41]","[427,0,640,171]",89,0.9163722991943359
117,r4_c4,189,interference,,double_ball_cluster_candidate_sampling,"[986,707,994,721]","[133,23,141,37]","[853,684,1067,855]",80,0.9289588928222656
118,r3_c1,68,double_ball_cluster,,double_ball_cluster_candidate_sampling,"[220,524,234,534]","[7,11,21,21]","[213,513,427,684]",94,0.9696472883224487
119,r4_c4,57,double_ball_cluster,,double_ball_cluster_candidate_sampling,"[863,809,873,823]","[10,125,20,139]","[853,684,1067,855]",94,0.9628826379776001
120,r2_c4,88,double_ball_cluster,,double_ball_cluster_candidate_sampling,"[946,353,955,368]","[93,11,102,26]","[853,342,1067,513]",97,0.9588794708251953
121,r2_c1,381,shadow_double_ball_cluster,,double_ball_cluster_candidate_sampling,"[335,429,350,438]","[122,87,137,96]","[213,342,427,513]",94,0.8814677000045776
122,r3_c2,336,shadow_double_ball_cluster,,double_ball_cluster_candidate_sampling,"[454,571,467,580]","[27,58,40,67]","[427,513,640,684]",90,0.9238920211791992
123,r0_c1,265,single_ball_background_mixed,,double_ball_cluster_candidate_sampling,"[323,120,332,134]","[110,120,119,134]","[213,0,427,171]",94,0.9226295948028564
124,r3_c4,214,single_ball_background_mixed,,double_ball_cluster_candidate_sampling,"[1006,588,1019,597]","[153,75,166,84]","[853,513,1067,684]",84,0.937584638595581
125,r1_c1,255,double_ball_cluster,,double_ball_cluster_candidate_sampling,"[306,290,316,304]","[93,119,103,133]","[213,171,427,342]",85,0.9147979021072388
126,r3_c1,161,double_ball_cluster,,double_ball_cluster_candidate_sampling,"[317,631,331,640]","[104,118,118,127]","[213,513,427,684]",93,0.9571657180786133
127,r0_c3,328,interference,,double_ball_cluster_candidate_sampling,"[704,71,720,80]","[64,71,80,80]","[640,0,853,171]",97,0.9144415855407715
128,r2_c4,80,interference,,double_ball_cluster_candidate_sampling,"[853,430,861,443]","[0,88,8,101]","[853,342,1067,513]",78,0.9609701633453369
129,r1_c1,286,double_ball_cluster,,double_ball_cluster_candidate_sampling,"[303,180,311,193]","[90,9,98,22]","[213,171,427,342]",81,0.8970791101455688
130,r1_c5,46,interference,,double_ball_cluster_candidate_sampling,"[1086,258,1100,266]","[19,87,33,95]","[1067,171,1280,342]",79,0.9700851440429688
131,r1_c4,114,double_ball_cluster,,double_ball_cluster_candidate_sampling,"[918,264,926,279]","[65,93,73,108]","[853,171,1067,342]",87,0.9567992687225342
132,r0_c0,119,double_ball_cluster,,double_ball_cluster_candidate_sampling,"[46,94,60,102]","[46,94,60,102]","[0,0,213,171]",84,0.9558026790618896
133,r2_c5,176,single_ball_background_mixed,,double_ball_cluster_candidate_sampling,"[1095,361,1109,370]","[28,19,42,28]","[1067,342,1280,513]",96,0.9373962879180908
134,r3_c2,369,shadow_double_ball_cluster,,double_ball_cluster_candidate_sampling,"[429,638,443,646]","[2,125,16,133]","[427,513,640,684]",90,0.9145413637161255
135,r2_c3,230,double_ball_cluster,,double_ball_cluster_candidate_sampling,"[648,456,658,471]","[8,114,18,129]","[640,342,853,513]",97,0.9263757467269897
136,r0_c0,13,interference,,double_ball_cluster_candidate_sampling,"[0,155,9,170]","[0,155,9,170]","[0,0,213,171]",99,0.9775318503379822
137,r0_c3,337,shadow_double_ball_cluster,,double_ball_cluster_candidate_sampling,"[791,102,799,116]","[151,102,159,116]","[640,0,853,171]",86,0.9111446142196655
138,r2_c1,360,double_ball_cluster,,double_ball_cluster_candidate_sampling,"[233,465,241,479]","[20,123,28,137]","[213,342,427,513]",86,0.898644208908081
139,r3_c0,240,double_ball_cluster,,double_ball_cluster_candidate_sampling,"[162,637,172,651]","[162,124,172,138]","[0,513,213,684]",95,0.9441581964492798
140,r2_c1,162,interference,,double_ball_cluster_candidate_sampling,"[286,475,299,483]","[73,133,86,141]","[213,342,427,513]",77,0.956078290939331
141,r3_c1,241,double_ball_cluster,,double_ball_cluster_candidate_sampling,"[394,591,402,606]","[181,78,189,93]","[213,513,427,684]",84,0.9435240030288696
142,r3_c4,213,shadow_double_ball_cluster,,double_ball_cluster_candidate_sampling,"[1022,580,1030,594]","[169,67,177,81]","[853,513,1067,684]",83,0.9376592636108398
143,r4_c4,253,shadow_double_ball_cluster,,double_ball_cluster_candidate_sampling,"[887,755,895,769]","[34,71,42,85]","[853,684,1067,855]",83,0.8937021493911743
144,r0_c5,259,double_ball_cluster,,double_ball_cluster_candidate_sampling,"[1067,46,1075,61]","[0,46,8,61]","[1067,0,1280,171]",88,0.9390988349914551
145,r2_c0,117,single_ball_background_mixed,,double_ball_cluster_candidate_sampling,"[42,457,52,470]","[42,115,52,128]","[0,342,213,513]",82,0.9566389322280884
146,r0_c3,116,interference,,double_ball_cluster_candidate_sampling,"[717,54,726,68]","[77,54,86,68]","[640,0,853,171]",95,0.9611859321594238
147,r3_c2,247,double_ball_cluster,,double_ball_cluster_candidate_sampling,"[614,533,623,548]","[187,20,196,35]","[427,513,640,684]",97,0.9412680864334106
148,r3_c1,380,shadow_double_ball_cluster,,double_ball_cluster_candidate_sampling,"[415,551,425,564]","[202,38,212,51]","[213,513,427,684]",84,0.8866013288497925
149,r0_c3,211,interference,,double_ball_cluster_candidate_sampling,"[644,79,653,92]","[4,79,13,92]","[640,0,853,171]",82,0.9453471899032593
150,r3_c1,363,double_ball_cluster,,double_ball_cluster_candidate_sampling,"[245,596,254,610]","[32,83,41,97]","[213,513,427,684]",92,0.9036108255386353
151,r3_c3,138,single_ball_background_mixed,,double_ball_cluster_candidate_sampling,"[738,611,748,625]","[98,98,108,112]","[640,513,853,684]",93,0.9563127756118774
152,r5_c5,17,interference,,double_ball_cluster_candidate_sampling,"[1211,923,1220,939]","[144,68,153,84]","[1067,855,1280,1026]",95,0.9775270223617554
153,r4_c2,7,interference,,double_ball_cluster_candidate_sampling,"[542,754,552,769]","[115,70,125,85]","[427,684,640,855]",99,0.9826127290725708
154,r5_c4,112,single_ball_background_mixed,,double_ball_cluster_candidate_sampling,"[913,865,921,878]","[60,10,68,23]","[853,855,1067,1026]",79,0.9098274111747742
155,r2_c1,235,shadow_double_ball_cluster,,double_ball_cluster_candidate_sampling,"[226,505,239,513]","[13,163,26,171]","[213,342,427,513]",76,0.9417022466659546
156,r3_c3,311,interference,,double_ball_cluster_candidate_sampling,"[673,661,681,674]","[33,148,41,161]","[640,513,853,684]",76,0.9033459424972534
157,r1_c3,181,interference,,double_ball_cluster_candidate_sampling,"[717,253,728,266]","[77,82,88,95]","[640,171,853,342]",91,0.9268945455551147
158,r2_c1,10,interference,,double_ball_cluster_candidate_sampling,"[402,410,415,420]","[189,68,202,78]","[213,342,427,513]",92,0.9822044372558594
159,r2_c2,13,interference,,double_ball_cluster_candidate_sampling,"[514,393,524,406]","[87,51,97,64]","[427,342,640,513]",92,0.9775652885437012
160,r2_c0,263,double_ball_cluster,,double_ball_cluster_candidate_sampling,"[47,439,58,452]","[47,97,58,110]","[0,342,213,513]",87,0.9295393228530884
161,r4_c4,131,single_ball_background_mixed,,double_ball_cluster_candidate_sampling,"[901,833,915,842]","[48,149,62,158]","[853,684,1067,855]",97,0.9483910202980042
162,r1_c0,195,single_ball_background_mixed,,double_ball_cluster_candidate_sampling,"[165,237,180,246]","[165,66,180,75]","[0,171,213,342]",100,0.9317715764045715
163,r5_c0,167,shadow_double_ball_cluster,,double_ball_cluster_candidate_sampling,"[50,912,63,922]","[50,57,63,67]","[0,855,213,1026]",81,0.9049489498138428
164,r3_c3,285,double_ball_cluster,,double_ball_cluster_candidate_sampling,"[794,640,807,651]","[154,127,167,138]","[640,513,853,684]",86,0.9208542108535767
165,r4_c0,185,shadow_double_ball_cluster,,double_ball_cluster_candidate_sampling,"[95,829,108,840]","[95,145,108,156]","[0,684,213,855]",86,0.9464263916015625
166,r1_c2,245,interference,,double_ball_cluster_candidate_sampling,"[521,183,537,191]","[94,12,110,20]","[427,171,640,342]",84,0.9077178239822388
167,r0_c0,285,double_ball_cluster,,double_ball_cluster_candidate_sampling,"[158,49,172,57]","[158,49,172,57]","[0,0,213,171]",91,0.9118627309799194
168,r0_c1,309,interference,,double_ball_cluster_candidate_sampling,"[268,163,282,171]","[55,163,69,171]","[213,0,427,171]",91,0.8987703323364258
169,r4_c4,230,double_ball_cluster,,double_ball_cluster_candidate_sampling,"[994,685,1004,698]","[141,1,151,14]","[853,684,1067,855]",85,0.9100559949874878
170,r2_c3,184,double_ball_cluster,,double_ball_cluster_candidate_sampling,"[739,389,753,400]","[99,47,113,58]","[640,342,853,513]",93,0.9412466287612915
171,r0_c5,140,interference,,double_ball_cluster_candidate_sampling,"[1206,121,1216,133]","[139,121,149,133]","[1067,0,1280,171]",87,0.9582276344299316
172,r2_c4,15,interference,,double_ball_cluster_candidate_sampling,"[895,348,907,358]","[42,6,54,16]","[853,342,1067,513]",87,0.9761908054351807
173,r4_c5,19,interference,,double_ball_cluster_candidate_sampling,"[1257,700,1267,712]","[190,16,200,28]","[1067,684,1280,855]",87,0.9726693034172058
174,r5_c1,38,interference,,double_ball_cluster_candidate_sampling,"[270,911,280,923]","[57,56,67,68]","[213,855,427,1026]",87,0.9634265899658203
175,r3_c5,216,double_ball_cluster,,double_ball_cluster_candidate_sampling,"[1148,633,1156,647]","[81,120,89,134]","[1067,513,1280,684]",90,0.9308241605758667
176,r1_c3,77,interference,,double_ball_cluster_candidate_sampling,"[674,233,688,243]","[34,62,48,72]","[640,171,853,342]",96,0.9591763019561768
177,r4_c0,327,single_ball_background_mixed,,double_ball_cluster_candidate_sampling,"[149,764,163,774]","[149,80,163,90]","[0,684,213,855]",96,0.9041887521743774
